ExtractionId,SiteId,OreType,OreGrade,ExtractionDate,ShiftType,EquipmentId,QuantityTonnes,ExtractionMethod
EXT-009894,SIT-0002,Coal,Low,2025-02-27,Evening,EQP-0263,801,Auger Mining
EXT-002668,SIT-0003,Iron,Low,2025-02-11,Overnight,EQP-0429,253,Drift and Fill
EXT-012890,SIT-0005,Coal,High,2025-09-01,Daytime,EQP-0330,490,Auger Mining
EXT-000991,SIT-0003,Coal,Medium,2025-06-25,Daytime,EQP-0185,736,Open-pit
EXT-006815,SIT-0003,Coal,Medium,2025-01-09,Evening,EQP-0001,686,Underground
EXT-006973,SIT-0001,Coal,Low,2025-03-13,Overnight,EQP-0480,411,Room and Pillar
EXT-019620,SIT-0001,Iron,Medium,2025-09-30,Daytime,EQP-0547,143,Underground
EXT-006996,SIT-0010,Coal,High,2025-04-06,Evening,EQP-0934,882,Room and Pillar
EXT-013178,SIT-0008,Silver,High,2025-09-04,Evening,EQP-0778,697,Top Slicing
EXT-016656,SIT-0002,Coal,Low,2025-03-11,Evening,EQP-0661,989,Top Slicing
EXT-006223,SIT-0002,Coal,Medium,2025-11-22,Evening,EQP-0907,313,Underground
EXT-000666,SIT-0001,Manganese,Medium,2025-03-30,Overnight,EQP-0525,139,Borehole Mining
EXT-004375,SIT-0003,Coal,Medium,2025-10-16,Daytime,EQP-0431,160,Open-pit
EXT-018756,SIT-0002,Coal,Medium,2025-12-28,Daytime,EQP-0293,107,Borehole Mining
EXT-017667,SIT-0003,Coal,Medium,2025-04-16,Overnight,EQP-0326,46,Top Slicing
EXT-009381,SIT-0003,Coal,High,2025-10-10,Overnight,EQP-0005,785,Sublevel Stoping
EXT-017486,SIT-0002,Gold,Medium,2025-01-13,Evening,EQP-0079,111,Open-pit
EXT-016619,SIT-0002,Silver,High,2025-03-18,Daytime,EQP-0742,609,Borehole Mining
EXT-016867,SIT-0002,Coal,High,2025-12-10,Overnight,EQP-0512,840,Borehole Mining
EXT-000581,SIT-0003,Coal,High,2025-02-23,Daytime,EQP-0821,967,Longwall
EXT-002474,SIT-0002,Coal,Medium,2025-04-26,Overnight,EQP-0773,941,Room and Pillar
EXT-015485,SIT-0003,Gold,High,2025-06-25,Daytime,EQP-0622,176,Drift and Fill
EXT-009163,SIT-0003,Coal,High,2025-06-27,Overnight,EQP-0202,884,Underground
EXT-003877,SIT-0001,Gold,Medium,2025-03-15,Evening,EQP-0354,30,Block Caving
EXT-002691,SIT-0001,Coal,Medium,2025-08-16,Daytime,EQP-0260,349,Top Slicing
EXT-014081,SIT-0008,Coal,Medium,2025-07-12,Daytime,EQP-0335,190,Block Caving
EXT-011880,SIT-0002,Iron,High,2025-12-24,Overnight,EQP-0754,142,Open-pit
EXT-005443,SIT-0004,Coal,Medium,2025-04-12,Daytime,EQP-0582,137,Auger Mining
EXT-015042,SIT-0002,Coal,High,2025-06-14,Daytime,EQP-0816,165,Block Caving
EXT-002290,SIT-0002,Coal,Medium,2025-04-08,Daytime,EQP-0550,254,Block Caving
EXT-008285,SIT-0002,Iron,Medium,2025-06-15,Overnight,EQP-0218,261,Room and Pillar
EXT-015734,SIT-0002,Coal,Low,2025-05-27,Evening,EQP-0393,865,Auger Mining
EXT-012303,SIT-0004,Coal,Medium,2025-08-07,Overnight,EQP-0420,138,Auger Mining
EXT-007971,SIT-0003,Gold,Medium,2025-01-10,Overnight,EQP-0671,540,Auger Mining
EXT-004044,SIT-0001,Coal,Medium,2025-09-24,Daytime,EQP-0910,203,Auger Mining
EXT-010451,SIT-0004,Copper,High,2025-12-20,Overnight,EQP-0863,771,Drift and Fill
EXT-001224,SIT-0001,Coal,High,2025-10-22,Overnight,EQP-0017,47,Auger Mining
EXT-004414,SIT-0002,Coal,Medium,2025-12-15,Overnight,EQP-0193,128,Top Slicing
EXT-002410,SIT-0007,Coal,High,2025-11-07,Evening,EQP-0124,524,Drift and Fill
EXT-015320,SIT-0008,Gold,Medium,2025-01-16,Overnight,EQP-0846,85,Room and Pillar
EXT-003172,SIT-0005,Coal,High,2025-10-26,Evening,EQP-0844,861,Underground
EXT-004038,SIT-0002,Coal,Medium,2025-07-24,Overnight,EQP-0033,545,Room and Pillar
EXT-002204,SIT-0001,Coal,High,2025-04-19,Evening,EQP-0849,467,Top Slicing
EXT-000218,SIT-0001,Coal,High,2025-11-23,Overnight,EQP-0215,56,Borehole Mining
EXT-018576,SIT-0002,Coal,High,2025-07-16,Evening,EQP-0199,82,Auger Mining
EXT-000455,SIT-0001,Nickel,Medium,2025-06-15,Overnight,EQP-0083,753,Block Caving
EXT-007239,SIT-0003,Gold,High,2025-06-17,Evening,EQP-0395,973,Underground
EXT-004525,SIT-0001,Coal,High,2025-09-10,Evening,EQP-0934,464,Borehole Mining
EXT-018887,SIT-0002,Gold,High,2025-01-01,Overnight,EQP-0288,135,Drift and Fill
EXT-018207,SIT-0002,Silver,Medium,2025-09-30,Overnight,EQP-0246,658,Sublevel Stoping
EXT-008620,SIT-0005,Nickel,High,2025-11-21,Daytime,EQP-0253,89,Drift and Fill
EXT-000334,SIT-0004,Iron,High,2025-12-27,Daytime,EQP-0275,508,Open-pit
EXT-018603,SIT-0003,Coal,Medium,2025-04-03,Overnight,EQP-0934,463,Auger Mining
EXT-007648,SIT-0001,Silver,High,2025-07-22,Daytime,EQP-0038,602,Underground
EXT-018228,SIT-0003,Coal,Medium,2025-07-25,Daytime,EQP-0230,578,Auger Mining
EXT-010092,SIT-0004,Coal,Medium,2025-01-20,Daytime,EQP-0769,798,Open-pit
EXT-014975,SIT-0009,Iron,Medium,2025-12-18,Daytime,EQP-0400,733,Longwall
EXT-010685,SIT-0002,Iron,High,2025-07-04,Overnight,EQP-0644,744,Drift and Fill
EXT-002752,SIT-0004,Coal,High,2025-04-28,Daytime,EQP-0877,807,Auger Mining
EXT-000631,SIT-0009,Manganese,Medium,2025-06-28,Daytime,EQP-0659,887,Underground
EXT-014673,SIT-0003,Coal,Medium,2025-01-12,Daytime,EQP-0298,947,Sublevel Stoping
EXT-010713,SIT-0008,Coal,Medium,2025-03-06,Evening,EQP-0028,276,Borehole Mining
EXT-014096,SIT-0003,Iron,Medium,2025-12-18,Daytime,EQP-0573,571,Room and Pillar
EXT-017089,SIT-0003,Coal,Medium,2025-03-29,Evening,EQP-0890,29,Block Caving
EXT-008547,SIT-0004,Gold,Medium,2025-10-21,Overnight,EQP-0372,219,Block Caving
EXT-006545,SIT-0001,Silver,Medium,2025-02-02,Daytime,EQP-0169,78,Top Slicing
EXT-018188,SIT-0002,Coal,High,2025-01-04,Overnight,EQP-0746,172,Drift and Fill
EXT-001502,SIT-0003,Coal,High,2025-07-08,Daytime,EQP-0377,222,Sublevel Stoping
EXT-014148,SIT-0003,Coal,Medium,2025-02-24,Overnight,EQP-0693,459,Longwall
EXT-005135,SIT-0001,Copper,High,2025-04-25,Daytime,EQP-0880,259,Room and Pillar
EXT-000428,SIT-0001,Coal,High,2025-06-04,Daytime,EQP-0633,271,Longwall
EXT-018090,SIT-0002,Coal,Medium,2025-02-12,Evening,EQP-0656,919,Longwall
EXT-014364,SIT-0003,Iron,High,2025-11-30,Daytime,EQP-0306,407,Borehole Mining
EXT-007573,SIT-0001,Coal,Medium,2025-12-18,Evening,EQP-0039,423,Auger Mining
EXT-011804,SIT-0003,Coal,Medium,2025-02-13,Daytime,EQP-0315,665,Top Slicing
EXT-008342,SIT-0004,Coal,Medium,2025-03-01,Overnight,EQP-0625,844,Block Caving
EXT-003804,SIT-0002,Coal,Medium,2025-08-19,Daytime,EQP-0813,368,Room and Pillar
EXT-004242,SIT-0002,Copper,Medium,2025-11-02,Daytime,EQP-0239,198,Auger Mining
EXT-019866,SIT-0001,Coal,High,2025-11-11,Daytime,EQP-0706,677,Room and Pillar
EXT-000969,SIT-0001,Diamond,High,2025-11-02,Overnight,EQP-0837,259,Underground
EXT-007093,SIT-0002,Coal,Medium,2025-10-07,Overnight,EQP-0781,711,Sublevel Stoping
EXT-014085,SIT-0003,Coal,Medium,2025-12-08,Overnight,EQP-0860,972,Room and Pillar
EXT-017626,SIT-0004,Coal,Low,2025-11-02,Evening,EQP-0142,311,Block Caving
EXT-008003,SIT-0004,Coal,High,2025-12-09,Evening,EQP-0180,733,Underground
EXT-019528,SIT-0003,Coal,High,2025-12-23,Overnight,EQP-0081,334,Top Slicing
EXT-013680,SIT-0001,Copper,Medium,2025-04-16,Overnight,EQP-0635,949,Auger Mining
EXT-015882,SIT-0008,Coal,Medium,2025-07-30,Evening,EQP-0715,104,Longwall
EXT-010337,SIT-0009,Iron,High,2025-10-01,Daytime,EQP-0302,121,Underground
EXT-001803,SIT-0004,Manganese,Medium,2025-01-07,Evening,EQP-0580,917,Room and Pillar
EXT-014380,SIT-0002,Iron,Medium,2025-04-23,Daytime,EQP-0278,985,Open-pit
EXT-008886,SIT-0001,Coal,Medium,2025-07-10,Overnight,EQP-0558,515,Block Caving
EXT-017959,SIT-0003,Copper,High,2025-07-18,Evening,EQP-0133,159,Sublevel Stoping
EXT-015062,SIT-0003,Gold,High,2025-08-18,Overnight,EQP-0495,74,Drift and Fill
EXT-008579,SIT-0002,Coal,Medium,2025-05-07,Evening,EQP-0031,253,Block Caving
EXT-003566,SIT-0003,Iron,Medium,2025-11-17,Overnight,EQP-0628,825,Drift and Fill
EXT-010302,SIT-0002,Coal,Medium,2025-03-27,Overnight,EQP-0520,842,Drift and Fill
EXT-016372,SIT-0010,Coal,Medium,2025-04-02,Daytime,EQP-0625,446,Block Caving
EXT-011666,SIT-0004,Coal,Medium,2025-02-17,Daytime,EQP-0032,554,Room and Pillar
EXT-013913,SIT-0002,Coal,High,2025-02-06,Overnight,EQP-0802,271,Longwall
EXT-012037,SIT-0001,Coal,Medium,2025-02-27,Overnight,EQP-0907,380,Borehole Mining
EXT-014780,SIT-0002,Coal,Low,2025-10-11,Overnight,EQP-0601,242,Drift and Fill
EXT-009161,SIT-0007,Gold,Medium,2025-03-16,Daytime,EQP-0462,767,Top Slicing
EXT-006552,SIT-0003,Coal,Medium,2025-07-09,Overnight,EQP-0703,546,Top Slicing
EXT-005271,SIT-0005,Silver,Low,2025-11-02,Overnight,EQP-0654,809,Block Caving
EXT-018305,SIT-0001,Coal,Medium,2025-04-15,Evening,EQP-0934,459,Room and Pillar
EXT-003784,SIT-0004,Coal,Medium,2025-06-08,Evening,EQP-0758,344,Sublevel Stoping
EXT-012084,SIT-0001,Coal,Medium,2025-02-15,Evening,EQP-0208,61,Borehole Mining
EXT-009788,SIT-0002,Silver,High,2025-02-13,Evening,EQP-0167,122,Auger Mining
EXT-000973,SIT-0001,Gold,High,2025-09-24,Daytime,EQP-0926,323,Top Slicing
EXT-005221,SIT-0002,Coal,Medium,2025-08-03,Daytime,EQP-0111,920,Auger Mining
EXT-011047,SIT-0002,Coal,Medium,2025-12-22,Evening,EQP-0734,269,Sublevel Stoping
EXT-014889,SIT-0004,Coal,High,2025-08-19,Overnight,EQP-0877,117,Top Slicing
EXT-019982,SIT-0010,Iron,High,2025-03-17,Daytime,EQP-0180,623,Auger Mining
EXT-011575,SIT-0008,Coal,High,2025-07-30,Overnight,EQP-0546,695,Underground
EXT-013112,SIT-0010,Iron,Medium,2025-08-02,Overnight,EQP-0381,107,Drift and Fill
EXT-015376,SIT-0004,Coal,Low,2025-07-28,Evening,EQP-0592,964,Open-pit
EXT-009592,SIT-0002,Iron,Medium,2025-07-23,Overnight,EQP-0606,186,Open-pit
EXT-019509,SIT-0005,Coal,Medium,2025-06-23,Daytime,EQP-0234,93,Longwall
EXT-013145,SIT-0003,Coal,High,2025-03-21,Daytime,EQP-0952,494,Open-pit
EXT-003039,SIT-0004,Silver,Medium,2025-04-15,Daytime,EQP-0759,998,Longwall
EXT-001761,SIT-0001,Coal,Low,2025-03-12,Daytime,EQP-0548,285,Top Slicing
EXT-007521,SIT-0003,Coal,Medium,2025-03-22,Evening,EQP-0700,609,Longwall
EXT-012727,SIT-0004,Coal,Medium,2025-07-31,Daytime,EQP-0204,234,Longwall
EXT-000376,SIT-0004,Gold,Medium,2025-02-01,Overnight,EQP-0871,934,Underground
EXT-007833,SIT-0001,Diamond,Medium,2025-10-29,Overnight,EQP-0779,659,Top Slicing
EXT-016531,SIT-0002,Coal,Medium,2025-08-30,Evening,EQP-0581,895,Longwall
EXT-004099,SIT-0004,Iron,Medium,2025-12-17,Overnight,EQP-0640,212,Top Slicing
EXT-007127,SIT-0003,Coal,High,2025-03-23,Daytime,EQP-0778,349,Block Caving
EXT-002840,SIT-0010,Silver,Medium,2025-06-19,Daytime,EQP-0483,23,Auger Mining
EXT-000610,SIT-0001,Coal,Medium,2025-10-10,Daytime,EQP-0055,269,Auger Mining
EXT-019466,SIT-0008,Coal,Medium,2025-09-08,Evening,EQP-0506,733,Underground
EXT-008633,SIT-0001,Coal,Medium,2025-08-23,Overnight,EQP-0954,664,Underground
EXT-002890,SIT-0003,Coal,Medium,2025-07-07,Daytime,EQP-0125,694,Open-pit
EXT-017568,SIT-0003,Iron,Medium,2025-12-23,Overnight,EQP-0282,305,Sublevel Stoping
EXT-018487,SIT-0003,Coal,Medium,2025-11-08,Overnight,EQP-0235,212,Longwall
EXT-007049,SIT-0003,Coal,Medium,2025-03-29,Overnight,EQP-0798,637,Underground
EXT-012280,SIT-0001,Coal,Medium,2025-09-01,Daytime,EQP-0066,283,Auger Mining
EXT-011682,SIT-0003,Coal,High,2025-03-29,Evening,EQP-0816,381,Sublevel Stoping
EXT-011541,SIT-0002,Coal,Medium,2025-10-10,Overnight,EQP-0094,156,Drift and Fill
EXT-012639,SIT-0002,Coal,Medium,2025-12-18,Overnight,EQP-0020,171,Drift and Fill
EXT-017734,SIT-0003,Coal,High,2025-06-27,Overnight,EQP-0513,916,Underground
EXT-011994,SIT-0004,Silver,Medium,2025-09-10,Evening,EQP-0859,473,Underground
EXT-003257,SIT-0003,Manganese,High,2025-02-02,Daytime,EQP-0357,792,Sublevel Stoping
EXT-004927,SIT-0002,Coal,Medium,2025-01-08,Daytime,EQP-0440,105,Sublevel Stoping
EXT-009916,SIT-0004,Manganese,Medium,2025-03-03,Evening,EQP-0043,359,Block Caving
EXT-008716,SIT-0003,Coal,Medium,2025-10-27,Daytime,EQP-0405,479,Room and Pillar
EXT-009482,SIT-0001,Coal,High,2025-10-01,Daytime,EQP-0106,416,Drift and Fill
EXT-014749,SIT-0005,Coal,High,2025-02-21,Evening,EQP-0339,149,Room and Pillar
EXT-000896,SIT-0003,Coal,Low,2025-08-31,Daytime,EQP-0085,532,Sublevel Stoping
EXT-019616,SIT-0003,Coal,Medium,2025-11-05,Daytime,EQP-0721,180,Top Slicing
EXT-016587,SIT-0002,Silver,Medium,2025-08-21,Evening,EQP-0298,835,Sublevel Stoping
EXT-009377,SIT-0004,Coal,Low,2025-07-02,Daytime,EQP-0693,529,Drift and Fill
EXT-012596,SIT-0002,Gold,Medium,2025-11-03,Evening,EQP-0018,893,Sublevel Stoping
EXT-014072,SIT-0002,Coal,High,2025-11-11,Evening,EQP-0050,107,Underground
EXT-010955,SIT-0002,Coal,High,2025-01-27,Overnight,EQP-0177,199,Drift and Fill
EXT-012371,SIT-0010,Coal,Medium,2025-07-18,Overnight,EQP-0973,379,Drift and Fill
EXT-006055,SIT-0003,Coal,Medium,2025-04-02,Daytime,EQP-0357,883,Block Caving
EXT-016074,SIT-0002,Coal,Low,2025-05-14,Overnight,EQP-0463,748,Longwall
EXT-004223,SIT-0002,Gold,Medium,2025-01-02,Evening,EQP-0864,438,Drift and Fill
EXT-007452,SIT-0001,Coal,Medium,2025-04-04,Daytime,EQP-0667,492,Open-pit
EXT-019590,SIT-0003,Coal,Medium,2025-02-19,Evening,EQP-0377,566,Longwall
EXT-011877,SIT-0001,Coal,Medium,2025-05-17,Evening,EQP-0107,838,Longwall
EXT-010017,SIT-0003,Coal,Medium,2025-11-28,Daytime,EQP-0283,95,Auger Mining
EXT-018308,SIT-0001,Coal,Medium,2025-09-10,Evening,EQP-0950,778,Auger Mining
EXT-014331,SIT-0002,Coal,Medium,2025-07-21,Overnight,EQP-0165,490,Room and Pillar
EXT-015257,SIT-0002,Gold,Medium,2025-12-14,Overnight,EQP-0341,185,Room and Pillar
EXT-005424,SIT-0010,Copper,Medium,2025-08-25,Evening,EQP-0291,979,Borehole Mining
EXT-006135,SIT-0002,Coal,High,2025-01-22,Evening,EQP-0963,217,Sublevel Stoping
EXT-002142,SIT-0002,Coal,High,2025-07-15,Daytime,EQP-0425,691,Auger Mining
EXT-001094,SIT-0004,Gold,Medium,2025-09-19,Overnight,EQP-0447,690,Sublevel Stoping
EXT-010539,SIT-0003,Iron,Medium,2025-10-12,Overnight,EQP-0952,455,Borehole Mining
EXT-019882,SIT-0002,Iron,Medium,2025-03-24,Daytime,EQP-0252,526,Borehole Mining
EXT-008794,SIT-0009,Iron,High,2025-03-10,Evening,EQP-0186,187,Longwall
EXT-001862,SIT-0001,Coal,Low,2025-06-10,Daytime,EQP-0154,308,Open-pit
EXT-013494,SIT-0002,Coal,High,2025-06-15,Evening,EQP-0295,596,Room and Pillar
EXT-012009,SIT-0002,Coal,Medium,2025-10-19,Daytime,EQP-0842,167,Top Slicing
EXT-015105,SIT-0002,Coal,Medium,2025-07-13,Overnight,EQP-0847,759,Sublevel Stoping
EXT-002516,SIT-0003,Coal,Low,2025-06-25,Daytime,EQP-0854,789,Top Slicing
EXT-002695,SIT-0005,Coal,Medium,2025-07-25,Evening,EQP-0306,725,Room and Pillar
EXT-005538,SIT-0002,Coal,High,2025-01-27,Daytime,EQP-0939,352,Underground
EXT-006797,SIT-0003,Iron,High,2025-01-10,Daytime,EQP-0566,86,Borehole Mining
EXT-003554,SIT-0003,Coal,Medium,2025-01-23,Daytime,EQP-0440,750,Drift and Fill
EXT-008832,SIT-0004,Silver,Medium,2025-03-06,Daytime,EQP-0002,409,Open-pit
EXT-004115,SIT-0010,Iron,High,2025-02-23,Overnight,EQP-0225,773,Underground
EXT-014843,SIT-0003,Coal,Medium,2025-04-09,Evening,EQP-0017,299,Room and Pillar
EXT-005768,SIT-0002,Coal,Low,2025-12-26,Evening,EQP-0775,368,Drift and Fill
EXT-017630,SIT-0001,Coal,Medium,2025-11-05,Evening,EQP-0085,248,Open-pit
EXT-018664,SIT-0004,Coal,Medium,2025-10-23,Daytime,EQP-0245,789,Auger Mining
EXT-015821,SIT-0001,Coal,Medium,2025-06-28,Overnight,EQP-0292,141,Auger Mining
EXT-008318,SIT-0002,Nickel,High,2025-10-27,Evening,EQP-0576,522,Underground
EXT-012120,SIT-0002,Coal,Medium,2025-10-29,Overnight,EQP-0142,422,Block Caving
EXT-015547,SIT-0005,Iron,Medium,2025-10-23,Overnight,EQP-0116,272,Longwall
EXT-008516,SIT-0002,Coal,High,2025-07-15,Daytime,EQP-0788,859,Underground
EXT-014434,SIT-0004,Silver,Medium,2025-07-25,Evening,EQP-0758,305,Underground
EXT-016748,SIT-0002,Manganese,Medium,2025-01-17,Evening,EQP-0029,599,Borehole Mining
EXT-010753,SIT-0001,Diamond,High,2025-05-20,Evening,EQP-0587,366,Top Slicing
EXT-016675,SIT-0002,Iron,Low,2025-04-30,Overnight,EQP-0717,620,Open-pit
EXT-010835,SIT-0004,Coal,Medium,2025-05-27,Evening,EQP-0212,857,Open-pit
EXT-014820,SIT-0007,Coal,High,2025-05-27,Daytime,EQP-0793,751,Block Caving
EXT-009433,SIT-0001,Coal,High,2025-07-21,Evening,EQP-0110,310,Underground
EXT-013535,SIT-0003,Coal,Low,2025-03-03,Evening,EQP-0411,580,Room and Pillar
EXT-016155,SIT-0005,Coal,High,2025-03-14,Evening,EQP-0929,38,Underground
EXT-014246,SIT-0003,Coal,Low,2025-08-26,Evening,EQP-0917,60,Open-pit
EXT-007528,SIT-0006,Coal,Medium,2025-03-31,Daytime,EQP-0525,724,Borehole Mining
EXT-019216,SIT-0003,Coal,Medium,2025-02-19,Overnight,EQP-0633,260,Borehole Mining
EXT-001214,SIT-0009,Coal,High,2025-04-23,Daytime,EQP-0047,201,Top Slicing
EXT-012242,SIT-0006,Coal,Medium,2025-12-06,Overnight,EQP-0914,182,Borehole Mining
EXT-019753,SIT-0003,Iron,Medium,2025-10-20,Daytime,EQP-0384,881,Borehole Mining
EXT-018713,SIT-0003,Coal,High,2025-06-14,Overnight,EQP-0679,652,Borehole Mining
EXT-019810,SIT-0007,Coal,High,2025-03-18,Daytime,EQP-0082,503,Longwall
EXT-013701,SIT-0001,Copper,High,2025-02-17,Overnight,EQP-0336,267,Top Slicing
EXT-017928,SIT-0002,Silver,Medium,2025-08-14,Overnight,EQP-0165,693,Top Slicing
EXT-002403,SIT-0003,Coal,Low,2025-07-11,Daytime,EQP-0814,610,Sublevel Stoping
EXT-006257,SIT-0008,Silver,High,2025-05-02,Overnight,EQP-0564,673,Longwall
EXT-012040,SIT-0004,Coal,Medium,2025-10-20,Evening,EQP-0898,512,Underground
EXT-003025,SIT-0003,Coal,Medium,2025-09-16,Daytime,EQP-0451,592,Auger Mining
EXT-006692,SIT-0003,Coal,Medium,2025-03-17,Evening,EQP-0084,771,Sublevel Stoping
EXT-014220,SIT-0001,Iron,Medium,2025-06-20,Evening,EQP-0567,482,Sublevel Stoping
EXT-009198,SIT-0002,Nickel,Low,2025-11-22,Evening,EQP-0231,844,Drift and Fill
EXT-018959,SIT-0002,Coal,High,2025-08-13,Evening,EQP-0491,547,Room and Pillar
EXT-017020,SIT-0003,Iron,High,2025-03-26,Overnight,EQP-0166,813,Open-pit
EXT-006976,SIT-0001,Coal,High,2025-03-22,Daytime,EQP-0860,101,Sublevel Stoping
EXT-004562,SIT-0004,Coal,Low,2025-08-29,Daytime,EQP-0923,477,Top Slicing
EXT-004632,SIT-0003,Iron,Medium,2025-09-13,Daytime,EQP-0974,134,Open-pit
EXT-002312,SIT-0002,Iron,Low,2025-12-12,Evening,EQP-0144,670,Room and Pillar
EXT-001372,SIT-0001,Iron,Medium,2025-06-04,Evening,EQP-0093,499,Longwall
EXT-010398,SIT-0004,Gold,High,2025-05-16,Evening,EQP-0342,730,Auger Mining
EXT-009284,SIT-0002,Coal,High,2025-08-07,Overnight,EQP-0792,242,Drift and Fill
EXT-007267,SIT-0010,Gold,Medium,2025-08-23,Daytime,EQP-0222,833,Auger Mining
EXT-008947,SIT-0003,Coal,Medium,2025-06-02,Evening,EQP-0703,894,Open-pit
EXT-005138,SIT-0010,Copper,Medium,2025-08-14,Daytime,EQP-0754,53,Block Caving
EXT-013117,SIT-0010,Coal,Medium,2025-12-23,Overnight,EQP-0425,61,Top Slicing
EXT-009756,SIT-0003,Coal,High,2025-08-12,Evening,EQP-0283,252,Underground
EXT-016377,SIT-0007,Coal,Medium,2025-01-11,Daytime,EQP-0040,511,Underground
EXT-009180,SIT-0002,Gold,High,2025-11-02,Daytime,EQP-0502,314,Room and Pillar
EXT-010912,SIT-0001,Coal,Medium,2025-02-20,Daytime,EQP-0049,27,Sublevel Stoping
EXT-019608,SIT-0003,Coal,Medium,2025-03-08,Daytime,EQP-0210,587,Room and Pillar
EXT-010979,SIT-0002,Coal,High,2025-05-14,Evening,EQP-0276,801,Room and Pillar
EXT-010800,SIT-0003,Iron,High,2025-04-21,Overnight,EQP-0492,140,Drift and Fill
EXT-000723,SIT-0001,Coal,Medium,2025-05-13,Overnight,EQP-0028,988,Block Caving
EXT-013654,SIT-0001,Coal,High,2025-05-16,Evening,EQP-0208,166,Drift and Fill
EXT-003605,SIT-0002,Coal,High,2025-11-23,Daytime,EQP-0576,894,Sublevel Stoping
EXT-017002,SIT-0003,Coal,Medium,2025-06-06,Daytime,EQP-0697,405,Top Slicing
EXT-012088,SIT-0009,Copper,High,2025-01-17,Daytime,EQP-0301,596,Room and Pillar
EXT-011852,SIT-0003,Coal,Medium,2025-12-09,Daytime,EQP-0974,966,Drift and Fill
EXT-010310,SIT-0002,Coal,High,2025-03-12,Evening,EQP-0946,739,Block Caving
EXT-008308,SIT-0001,Iron,High,2025-02-21,Daytime,EQP-0383,905,Open-pit
EXT-006691,SIT-0003,Manganese,High,2025-05-06,Overnight,EQP-0034,803,Underground
EXT-002236,SIT-0004,Coal,High,2025-07-07,Evening,EQP-0973,645,Room and Pillar
EXT-016225,SIT-0009,Iron,High,2025-06-10,Overnight,EQP-0096,787,Underground
EXT-016497,SIT-0003,Coal,High,2025-06-21,Evening,EQP-0815,929,Top Slicing
EXT-000559,SIT-0002,Coal,Medium,2025-01-12,Overnight,EQP-0015,505,Underground
EXT-011787,SIT-0001,Nickel,High,2025-09-22,Evening,EQP-0769,942,Block Caving
EXT-003225,SIT-0004,Iron,Medium,2025-03-08,Evening,EQP-0216,856,Drift and Fill
EXT-004649,SIT-0003,Gold,Low,2025-09-14,Overnight,EQP-0506,959,Sublevel Stoping
EXT-017782,SIT-0002,Coal,High,2025-01-01,Daytime,EQP-0784,378,Drift and Fill
EXT-003376,SIT-0002,Coal,High,2025-11-10,Overnight,EQP-0963,124,Underground
EXT-004345,SIT-0003,Nickel,High,2025-12-12,Overnight,EQP-0644,130,Open-pit
EXT-000904,SIT-0001,Iron,High,2025-07-12,Evening,EQP-0502,901,Sublevel Stoping
EXT-008413,SIT-0004,Iron,Low,2025-06-01,Daytime,EQP-0024,885,Open-pit
EXT-017124,SIT-0003,Coal,Low,2025-08-12,Daytime,EQP-0504,620,Block Caving
EXT-011389,SIT-0002,Coal,Medium,2025-11-28,Daytime,EQP-0566,949,Top Slicing
EXT-016621,SIT-0003,Coal,High,2025-10-10,Daytime,EQP-0727,203,Borehole Mining
EXT-004662,SIT-0004,Gold,High,2025-03-07,Daytime,EQP-0194,500,Sublevel Stoping
EXT-006293,SIT-0003,Gold,Medium,2025-09-20,Overnight,EQP-0453,455,Open-pit
EXT-002154,SIT-0009,Coal,High,2025-06-24,Daytime,EQP-0590,866,Open-pit
EXT-000603,SIT-0004,Coal,High,2025-09-21,Evening,EQP-0135,536,Room and Pillar
EXT-003161,SIT-0003,Silver,Medium,2025-06-27,Evening,EQP-0932,772,Drift and Fill
EXT-010234,SIT-0002,Coal,Low,2025-06-01,Evening,EQP-0447,704,Underground
EXT-004923,SIT-0007,Iron,High,2025-01-29,Daytime,EQP-0804,25,Sublevel Stoping
EXT-013642,SIT-0004,Iron,High,2025-05-08,Daytime,EQP-0463,25,Drift and Fill
EXT-015000,SIT-0002,Manganese,Medium,2025-03-10,Evening,EQP-0738,268,Open-pit
EXT-019376,SIT-0001,Coal,Medium,2025-12-16,Overnight,EQP-0695,574,Drift and Fill
EXT-015374,SIT-0002,Coal,Low,2025-03-21,Overnight,EQP-0643,960,Borehole Mining
EXT-000053,SIT-0005,Gold,High,2025-06-23,Daytime,EQP-0355,891,Open-pit
EXT-000691,SIT-0003,Copper,High,2025-02-14,Daytime,EQP-0578,736,Room and Pillar
EXT-007016,SIT-0002,Coal,High,2025-07-21,Overnight,EQP-0137,303,Drift and Fill
EXT-007149,SIT-0001,Manganese,Medium,2025-07-09,Daytime,EQP-0225,849,Room and Pillar
EXT-009020,SIT-0001,Iron,High,2025-11-19,Overnight,EQP-0007,862,Top Slicing
EXT-011328,SIT-0003,Iron,Medium,2025-05-30,Evening,EQP-0360,729,Auger Mining
EXT-000170,SIT-0002,Copper,Low,2025-01-06,Daytime,EQP-0914,129,Auger Mining
EXT-011351,SIT-0002,Gold,Medium,2025-12-18,Overnight,EQP-0328,544,Drift and Fill
EXT-017924,SIT-0003,Iron,Medium,2025-12-20,Daytime,EQP-0053,771,Block Caving
EXT-011076,SIT-0002,Coal,High,2025-04-23,Evening,EQP-0060,744,Borehole Mining
EXT-015442,SIT-0003,Coal,High,2025-08-16,Evening,EQP-0728,482,Open-pit
